Z,sSFR_0_1Gyr_percentile50,mass_stellar_percentile50,RA,DEC
0.0772,-10.22,10.52,132.5812221,-0.6804902
0.0611,-10.62,10.29,133.3970055,-0.7100813
0.0483,-11.07,10.8,135.8027927,-0.7529172
0.0545,-9.975,10.22,137.4461468,-0.6519042
0.0539,-10.37,10.84,138.7764668,-0.7184472
0.0537,-12.97,10.52,138.94127,-0.8074413
0.052,-12.27,10.56,139.0411901,-0.6888488
0.0391,-11.52,10.75,139.0506498,-0.6995011
0.0741,-10.02,10.44,139.7074642,-0.7840489
0.0462,-11.52,10.39,139.781543,-0.7877997
0.057,-12.02,10.38,139.7938316,-0.8378881
0.0699,-10.52,10.81,140.06154,-0.7249028
0.0557,-12.22,10.51,140.2192279,-0.7679394
0.0354,-12.82,10.37,129.3541058,-0.2578173
0.0512,-10.82,10.53,129.4603942,-0.2620827
0.0518,-12.37,10.91,129.4573502,-0.2516074
0.0523,-10.17,10.5,129.47163,-0.2531678
0.0523,-12.32,10.53,129.9293298,-0.3369835
0.077,-9.725,10.22,130.0007071,-0.3156965
0.0514,-9.625,10.27,130.6177432,-0.2715965
0.0499,-10.32,10.54,130.6527154,-0.2309613
0.05,-11.17,10.77,130.9334358,-0.2121678
0.0508,-10.22,10.39,131.9486898,-0.380943
0.0698,-12.32,10.95,132.6359906,-0.2528361
0.087,-12.57,10.98,132.7433569,-0.228877
0.0706,-11.47,10.71,134.5858471,-0.3961704
0.0529,-10.52,10.96,135.3639894,-0.4183682
0.0529,-12.57,10.82,135.45655,-0.3979607
0.0966,-11.82,10.44,136.4314105,-0.3612925
0.0975,-10.27,10.4,136.4523204,-0.2833788
0.095,-11.72,10.92,136.6042117,-0.2377925
0.0702,-11.37,10.89,138.3918345,-0.2526838
0.0175,-10.22,10.27,139.4622436,-0.2783628
0.0549,-10.82,10.3,139.9206423,-0.3642708
0.0549,-10.67,10.49,140.3072947,-0.2304585
0.0257,-12.62,10.38,140.372729,-0.2688666
0.0692,-10.17,10.43,140.4861958,-0.2608204
0.0703,-10.47,10.38,140.610956,-0.3402302
0.054,-12.42,11.19,140.6524316,-0.4090157
0.0556,-12.47,10.4,140.6513832,-0.4067776
0.057,-12.52,10.32,140.5553118,-0.3633951
0.0555,-10.57,10.41,140.6430024,-0.3918365
0.0583,-12.52,11.08,140.687239,-0.3488474
0.0536,-11.97,10.38,140.8479535,-0.4034629
0.0842,-9.925,10.36,129.5057176,0.0850386
0.0835,-10.72,10.39,129.5192543,0.081738
0.0789,-10.17,10.64,129.5417599,0.2088611
0.0781,-9.475,10.5,129.6325317,0.0124115
0.0498,-11.32,10.76,129.7533634,0.062276
0.0783,-10.62,10.81,130.5873945,0.161524
0.0508,-12.97,10.32,130.6085994,0.136382
0.0503,-10.52,10.49,130.7436959,0.2061099
0.0767,-12.17,10.25,131.1668343,0.1524645
0.0776,-11.42,10.27,131.3060043,0.048218
0.0967,-11.72,10.91,131.9423874,0.0843109
0.0973,-11.72,10.43,132.1767186,0.0872169
0.0516,-11.27,10.71,132.1842715,0.1685043
0.0985,-9.775,10.32,132.6869189,0.2011341
0.0662,-12.22,10.87,133.1580361,0.1261012
0.0529,-12.07,11.12,134.4890312,0.1711993
0.0285,-10.72,10.4,134.6191527,0.0234373
0.0532,-10.82,10.83,134.5249363,0.1461551
0.071,-12.02,10.53,134.5777671,0.1043601
0.0406,-10.22,10.24,134.6767628,0.1914276
0.0538,-10.17,10.75,135.0210521,0.079656
0.0533,-10.82,10.47,135.6885676,0.1236875
0.0938,-12.32,10.46,136.8144088,0.0548808
0.0942,-12.12,10.77,136.81839,0.105065
0.0949,-9.875,10.29,136.8357706,0.1083868
0.0873,-10.17,10.44,136.9409637,0.0579197
0.0515,-11.62,10.72,137.1263133,0.2056567
0.0586,-12.97,10.56,137.170019,0.1959296
0.0755,-11.12,10.75,137.2994953,0.008011
0.0545,-12.42,10.52,138.225921,0.0907621
0.0924,-12.17,10.34,138.483715,0.0595735
0.0702,-10.62,10.5,138.9173246,0.1855851
0.0877,-10.57,10.35,139.2248804,0.0628702
0.091,-11.62,10.63,139.5245604,0.1932295
0.0695,-10.47,10.66,140.5218741,0.1509232
0.0333,-10.62,10.55,129.0064242,0.4381486
0.0773,-12.07,11,129.2699403,0.4290826
0.0759,-10.62,10.61,129.57163171,0.46560939
0.0799,-9.925,10.5,129.5278474,0.4634606
0.08,-10.62,10.4,129.5764852,0.435125
0.0766,-12.97,10.81,129.5777081,0.521565
0.0795,-11.92,10.58,129.7269428,0.6241774
0.0819,-10.92,10.46,129.5971795,0.4217993
0.0785,-12.02,10.73,129.7625334,0.6179229
0.0773,-10.87,10.31,129.8573338,0.5899075
0.0778,-10.77,10.64,129.9284092,0.5395276
0.0421,-12.57,10.97,129.9705947,0.4323992
0.0418,-10.57,10.36,130.2839311,0.5760681
0.0508,-11.87,10.5,130.9032131,0.5957617
0.07,-9.975,10.23,131.1508704,0.4592608
0.0977,-10.62,10.5,131.1567274,0.6290423
0.0698,-12.22,10.63,131.5074046,0.5077464
0.0995,-10.67,10.71,132.2593621,0.4220826
0.0988,-9.725,10.4,132.3574236,0.4252509
0.0992,-12.32,10.76,132.3719071,0.4371386
0.0672,-11.97,10.45,132.5823575,0.5661623
0.0643,-10.97,10.73,132.6423293,0.4923972
0.0992,-11.57,10.35,132.7812593,0.5946799
0.0511,-12.22,10.3,132.9216281,0.5724752
0.0576,-12.52,10.78,133.5057679,0.5589779
0.0531,-10.67,10.78,134.2533733,0.505587
0.0537,-12.37,10.53,137.02439,0.5733324
0.0534,-9.525,10.43,136.945496,0.5750393
0.0953,-10.62,10.89,137.0018842,0.4475938
0.0188,-12.82,10.45,137.1743128,0.4846672
0.0951,-11.87,10.6,137.0818006,0.545951
0.0942,-12.57,11.05,137.273545,0.4703675
0.0546,-12.02,10.68,138.0179417,0.421789
0.0545,-9.775,10.4,138.024416,0.4488231
0.0284,-10.37,10.35,139.2083661,0.5726916
0.0914,-11.87,10.71,139.380852,0.4282196
0.0916,-10.97,10.74,139.4974829,0.6116201
0.0879,-10.47,10.74,140.1740036,0.5204741
0.0735,-11.02,10.5,140.3045727,0.4270412
0.0876,-10.52,10.25,140.825375,0.5614613
0.0817,-10.52,10.56,129.7034579,0.7154326
0.0768,-11.17,10.45,130.4688509,0.8121954
0.079,-11.62,10.44,130.4273635,0.8154906
0.0758,-11.82,10.32,130.531818,0.7875387
0.0952,-10.52,10.25,130.6452606,0.8085308
0.0964,-12.57,10.6,130.6553906,0.8111561
0.0974,-10.42,10.39,130.8822582,0.821697
0.0288,-10.42,10.5,130.948858,0.8383508
0.0866,-10.52,10.79,131.8628818,0.8569568
0.0958,-12.37,11.06,131.8956537,0.7553112
0.0432,-10.12,10.22,132.3058904,0.8518485
0.087,-9.875,10.4,132.3636948,0.7675437
0.0654,-10.12,10.29,132.3956534,0.8464701
0.0658,-10.32,10.58,132.419001,0.8679009
0.0408,-11.72,10.94,133.5183275,0.8532129
0.0412,-12.57,10.88,133.8492502,0.8543532
0.0417,-10.47,10.32,133.9594861,0.831138
0.0525,-10.22,10.64,133.9761467,0.853014
0.0415,-9.925,10.76,133.9485221,0.794283
0.0712,-10.57,10.44,136.5926325,1.0041855
0.0703,-11.47,10.41,136.6025298,0.9655738
0.0944,-10.22,10.35,137.0118863,0.9794434
0.0932,-10.27,10.35,137.4609342,0.9884138
0.0542,-10.07,10.35,138.0682855,0.9321571
0.0972,-10.27,10.21,138.5505182,0.9710872
0.0954,-12.52,10.36,139.2623455,1.1086355
0.0867,-10.82,10.45,139.6586729,1.0569132
0.0878,-10.02,10.39,139.6901132,0.9298806
0.0874,-10.07,10.29,139.7068133,1.0185412
0.0871,-12.07,10.76,139.7158499,1.1056208
0.0868,-10.92,10.9,139.8121824,1.0766147
0.088,-10.82,10.49,139.8402478,1.074991
0.0176,-12.02,10.32,139.9799546,0.9451604
0.0868,-12.57,11.04,139.8552298,1.059793
0.0876,-12.02,10.73,139.8546414,1.0725225
0.017,-12.37,11.02,140.00904514,1.03829461
0.088,-12.12,10.43,140.0240563,1.0758594
0.0876,-11.97,10.53,140.1328631,1.0291589
0.0872,-9.875,10.39,140.9540026,0.9867613
0.051,-12.37,10.87,129.4051349,1.0730336
0.0511,-12.12,10.78,129.48589,1.0724238
0.0777,-10.62,10.27,130.2332338,1.2263775
0.0847,-11.72,10.71,130.2309576,1.1627762
0.078,-11.17,10.22,130.256527,1.1589977
0.0854,-11.67,10.84,130.2590427,1.0842201
0.0858,-12.22,10.7,130.294746,1.0278697
0.0848,-11.72,10.74,130.2902907,1.0270932
0.0852,-12.22,10.31,130.2952794,1.0604601
0.0455,-12.37,10.34,130.4123253,1.116611
0.0765,-10.82,10.43,130.505089,1.2028427
0.0773,-10.02,10.32,130.638663,1.1493682
0.0776,-10.12,10.33,130.7714585,1.1487817
0.0957,-11.87,10.32,130.8355138,1.0560495
0.0439,-10.27,10.29,130.9349386,1.0791751
0.07,-10.32,10.41,131.4668986,1.1891201
0.0996,-12.12,10.5,131.5542739,1.2023455
0.0874,-10.92,10.5,132.0231546,1.114577
0.0668,-10.07,10.38,132.3076903,1.1109329
0.0421,-11.72,10.7,132.6886325,1.3159901
0.0347,-10.57,10.25,132.7203882,1.2500407
0.0868,-11.77,10.49,132.7739105,1.1878224
0.0586,-10.22,10.53,133.6175101,1.2022371
0.0706,-12.22,10.49,134.2900998,1.3512303
0.0708,-11.77,10.24,134.3536983,1.1751949
0.0705,-11.42,10.65,134.4367767,1.3737594
0.0731,-12.02,10.93,134.4917922,1.1985405
0.0712,-12.37,10.45,134.487426,1.1994166
0.0702,-12.12,10.23,134.4963592,1.1741699
0.0708,-11.77,10.29,134.5307606,1.306916
0.071,-11.97,10.5,135.1401432,1.364437
0.0716,-9.775,10.3,135.1815072,1.3754902
0.0714,-11.82,10.27,135.1205641,1.2872988
0.0718,-10.97,10.74,135.1194019,1.2894608
0.0711,-9.425,10.67,135.1424843,1.3159014
0.0719,-11.77,10.58,135.253945,1.3725892
0.057,-10.02,10.54,135.5394992,1.2259046
0.0935,-11.67,11.12,135.6532291,1.3202036
0.0937,-12.22,10.62,135.9066209,1.2966493
0.0999,-9.975,10.41,136.6548206,1.3196888
0.0706,-11.22,10.55,137.932322,1.3491151
0.0547,-10.32,10.43,138.8110381,1.5106701
0.0948,-9.525,10.4,139.3695286,1.490002
0.0536,-10.77,10.57,139.4311608,1.4924053
0.0882,-12.22,10.32,139.7365256,1.4981678
0.0869,-9.875,10.25,139.8569969,1.4185259
0.0891,-12.07,10.26,140.1628759,1.3970827
0.0175,-12.72,10.52,140.7372227,1.4339911
0.026,-10.92,10.32,140.8279027,1.5831426
0.0849,-12.07,10.47,140.8515597,1.5463928
0.0925,-12.22,10.47,129.0057649,1.0760398
0.0725,-10.97,10.46,129.4514226,1.5377083
0.0814,-10.67,10.41,129.792652,1.4315955
0.0509,-11.57,10.75,129.8544732,1.4615301
0.0809,-10.07,10.26,129.8921587,1.5397758
0.0784,-10.52,10.56,129.9738195,1.4381976
0.096,-10.22,10.29,130.038274,1.4624927
0.0958,-11.52,10.65,130.3523107,1.5193846
0.05,-10.52,10.77,130.4312629,1.5305738
0.0944,-10.12,10.3,130.5246468,1.5690212
0.0959,-10.82,10.81,130.802233,1.6482946
0.0619,-10.67,10.56,131.0175558,1.5789587
0.062,-12.32,10.5,131.0365181,1.5486134
0.0704,-10.77,10.4,131.2437723,1.6743842
0.0492,-10.42,10.29,131.4064724,1.6066429
0.0701,-9.725,10.3,131.5208249,1.5031937
0.0629,-10.62,10.97,131.9507813,1.5344844
0.0676,-12.62,10.52,132.1358017,1.5329641
0.0426,-12.02,10.89,132.2631351,1.538486
0.0688,-11.42,11.12,132.38784606,1.72802437
0.0961,-11.97,10.62,133.3583675,1.6104501
0.0723,-12.12,10.25,133.3229199,1.7066705
0.0582,-10.47,10.72,133.4052664,1.717628
0.0409,-10.12,10.38,133.4196885,1.5635215
0.0717,-11.87,10.99,133.6663621,1.6137113
0.0571,-10.62,10.84,135.7144152,1.6810718
0.0573,-11.77,10.35,135.7164706,1.7109483
0.0982,-10.27,10.31,136.0958201,1.6824036
0.0771,-10.87,10.57,137.5551118,1.8458214
0.0974,-12.07,10.21,137.575162,1.8753168
0.0765,-10.22,10.51,137.6109678,1.8965828
0.0588,-10.27,10.29,138.030519,1.9119495
0.0554,-10.62,10.98,138.3155485,1.8672527
0.087,-11.77,10.39,139.8048412,1.8683297
0.0876,-11.27,11.01,139.8112076,1.7803308
0.0868,-10.42,10.44,139.904047,1.8273205
0.085,-11.27,11.02,140.0268785,1.9688112
0.0852,-12.57,11.01,140.5165231,1.9886579
0.0702,-9.825,10.5,140.8541991,1.9868408
0.0506,-10.12,10.31,140.9839305,1.8343689
0.0315,-10.32,10.48,129.4853862,2.021173
0.0724,-10.42,10.36,129.8511725,1.8641057
0.073,-10.12,10.25,129.856704,1.8504501
0.0733,-9.675,10.25,129.9181993,1.9615999
0.0736,-9.725,10.76,129.9416182,1.8849401
0.0735,-10.07,10.5,130.2450705,2.0425421
0.0737,-10.27,10.42,130.414754,1.8962505
0.094,-12.22,10.34,130.485455,1.9608389
0.0961,-12.57,10.58,130.7002554,1.883716
0.0254,-10.32,10.26,131.1186043,2.0640004
0.0772,-12.37,10.78,130.9975954,1.8966977
0.0764,-11.52,10.44,131.0056692,2.0577537
0.0782,-12.07,10.71,131.0534167,2.0084228
0.078,-12.02,10.71,131.0895206,1.9273699
0.0778,-11.87,11.08,131.1031604,2.0568588
0.051,-10.92,10.24,131.245558,2.0516382
0.0755,-12.97,11.18,131.336684,2.0039848
0.0754,-11.87,10.97,131.3001877,2.0412594
0.0785,-11.87,10.67,131.3270493,2.0838274
0.06,-11.67,11.04,131.6990228,2.0183338
0.0726,-12.07,10.32,132.8150968,2.0261225
0.075,-12.22,10.54,132.9101403,2.0483031
0.0955,-12.02,10.86,133.0895506,2.1497276
0.071,-12.22,10.63,134.5689227,2.021898
0.0562,-10.02,10.25,135.047775,2.077859
0.0586,-12.27,10.37,135.230694,2.2281982
0.057,-12.97,10.5,135.3835025,2.0621154
0.0568,-12.07,10.51,135.3791895,2.0705049
0.0583,-12.37,10.37,135.3913571,2.0876376
0.0573,-12.12,10.45,135.4472457,2.042302
0.093,-10.72,10.34,136.4390559,2.0836665
0.0999,-12.12,10.6,137.0271342,2.2493139
0.099,-10.02,10.7,136.9674015,2.1905475
0.0975,-12.17,10.62,137.5684352,2.1823084
0.0966,-12.52,11.05,137.5790127,2.1895839
0.0966,-12.22,10.89,137.5811087,2.1876033
0.0548,-12.07,11.15,137.7116136,2.3014634
0.0555,-10.27,10.45,137.8647361,2.2372003
0.055,-11.77,10.89,137.8832886,2.2398191
0.0559,-10.17,10.45,138.1639866,2.2172065
0.091,-11.47,10.4,139.215087,2.2534804
0.0899,-10.32,10.25,139.5580766,2.1996478
0.087,-11.02,10.47,139.5666271,2.2456706
0.0859,-10.27,10.36,140.0905243,2.3074353
0.089,-12.97,10.97,140.2860293,2.333934
0.0504,-10.87,10.65,140.2933837,2.2012881
0.0853,-10.77,10.57,140.722476,2.3311906
0.0855,-12.07,10.34,140.7878009,2.2627683
0.091,-10.02,10.57,139.2695947,2.6098982
0.0566,-11.27,10.33,139.7091702,2.6376433
0.086,-10.02,10.22,139.8435111,2.6274057
0.0938,-9.925,10.34,140.3801868,2.6481288
0.0889,-12.57,10.77,140.5663186,2.6682652
0.0882,-10.62,10.59,140.5610775,2.6618564
0.0847,-10.97,10.86,129.0418649,0.9335678
0.089,-11.42,10.29,129.1865154,0.8972049
0.0843,-9.925,10.21,129.466154,0.9159559
0.0852,-11.27,10.78,129.7405687,0.9597196
0.0851,-11.72,10.43,130.2814831,0.9955492
0.0969,-12.07,10.75,130.2946174,0.9892318
0.0398,-11.47,10.5,130.4986261,0.9277973
0.0772,-12.57,11.14,130.4963106,1.0172771
0.0777,-12.27,10.59,130.5118391,0.8560739
0.0964,-12.22,10.46,130.509482,0.9641345
0.0974,-12.07,10.58,130.5109892,0.9322337
0.0962,-12.02,11.13,130.5359311,0.9229832
0.0958,-10.92,10.41,130.5885794,0.851838
0.0971,-10.02,10.49,130.6687014,0.8966141
0.0854,-10.82,10.34,130.6861939,1.0084712
0.0779,-10.22,10.38,130.7036719,0.8882604
0.0707,-9.475,10.55,130.763593,0.9817984
0.077,-11.02,10.7,130.7788957,0.9627588
0.073,-9.775,10.59,130.961811,0.9263341
0.0698,-10.07,10.71,131.7396812,1.0735897
0.0288,-10.77,10.83,132.16755964,1.03878473
0.0672,-10.17,10.49,132.3242202,0.9167476
0.0702,-11.17,10.44,132.4316218,1.011376
0.0582,-12.07,10.72,132.4730532,0.9194399
0.0708,-12.22,10.67,132.7540986,1.0566278
0.0591,-12.37,10.98,133.29828633,0.92627408
0.0579,-11.77,10.45,133.680094,1.0959326
0.0882,-11.07,10.25,134.1281045,1.0833097
0.0881,-11.42,10.64,134.1763206,1.0373671
0.0699,-10.87,10.4,134.3645113,1.1455946
0.0726,-12.22,10.57,134.5299835,1.1046421
0.0712,-12.37,10.47,134.5338211,1.1024438
0.0718,-11.37,10.4,134.4104516,1.1281814
0.07,-12.12,10.73,134.419434,1.0025797
0.0714,-12.22,10.61,134.4232795,0.9818801
0.0711,-11.82,10.51,134.4344562,1.1677781
0.071,-11.92,10.27,134.4951155,1.0086491
0.0932,-12.07,10.66,134.5031067,1.1424531
0.0704,-11.92,10.51,134.5227615,1.165131
0.0692,-10.57,10.57,134.5361446,1.0160974
